isolate,start,end
72407.2546.con.0003|provirus_198056_249075,198056,249075
574.68.con.0027|provirus_1_19705,1,19705
72407.2477.con.0002|provirus_405984_416680,405984,416680
72407.2477.con.0007|provirus_18651_71106,18651,71106
72407.2477.con.0031|provirus_1_24544,1,24544
573.66556.con.0012|provirus_107402_140408,107402,140408
573.66556.con.0022|provirus_1_34504,1,34504
573.66556.con.0005|provirus_1_12799,1,12799
573.66556.con.0023|provirus_34_30140,34,30140
573.66556.con.0015|provirus_103643_111212,103643,111212
573.66556.con.0019|provirus_1_9974,1,9974
573.66556.con.0016|provirus_94277_108328,94277,108328
573.66556.con.0007|provirus_1_21404,1,21404
573.66556.con.0007|provirus_208109_224212,208109,224212
573.66556.con.0002|provirus_2_11733,2,11733
573.66556.con.0002|provirus_364412_379189,364412,379189
573.66538.con.0021|provirus_24529_81594,24529,81594
573.66079.con.0032|provirus_2_30701,2,30701
573.66079.con.0014|provirus_199_17802,199,17802
573.66079.con.0022|provirus_469_34925,469,34925
573.66079.con.0009|provirus_131_15101,131,15101
573.66079.con.0026|provirus_174_35205,174,35205
573.66079.con.0006|provirus_90429_107760,90429,107760
573.66079.con.0014|provirus_119022_134812,119022,134812
573.66079.con.0010|provirus_2_45902,2,45902
573.66079.con.0003|provirus_95215_133888,95215,133888
573.66079.con.0022|provirus_79979_95819,79979,95819
72407.2741.con.0009|provirus_94535_144475,94535,144475
573.66535.con.0012|provirus_113481_154759,113481,154759
573.66535.con.0008|provirus_1_46065,1,46065
573.66535.con.0006|provirus_353913_371316,353913,371316
573.66535.con.0010|provirus_196196_216055,196196,216055
573.66535.con.0003|provirus_42171_81246,42171,81246
573.66535.con.0008|provirus_261831_272703,261831,272703
573.66535.con.0006|provirus_2_16287,2,16287
72407.2836.con.0004|provirus_87041_130057,87041,130057
72407.2836.con.0011|provirus_68740_115034,68740,115034
72407.2836.con.0009|provirus_116297_150407,116297,150407
72407.2836.con.0002|provirus_42808_81067,42808,81067
72407.238.con.0076|provirus_7694_24114,7694,24114
72407.238.con.0013|provirus_1_11943,1,11943
72407.238.con.0087|provirus_4_3379,4,3379
72407.238.con.0047|provirus_6315_22418,6315,22418
72407.2847.con.0008|provirus_2_18061,2,18061
72407.2847.con.0014|provirus_119595_134082,119595,134082
72407.2847.con.0011|provirus_289_27860,289,27860
72407.2847.con.0024|provirus_42159_68832,42159,68832
72407.2847.con.0011|provirus_150596_161443,150596,161443
72407.228.con.0006|provirus_125_16545,125,16545
72407.228.con.0001|provirus_413303_456178,413303,456178
72407.228.con.0013|provirus_1_11543,1,11543
72407.228.con.0003|provirus_2_15804,2,15804
72407.228.con.0002|provirus_6844_22947,6844,22947
72407.2579.con.0002|provirus_123033_164774,123033,164774
72407.2579.con.0002|provirus_652_16993,652,16993
72407.2579.con.0016|provirus_1_50766,1,50766
72407.2579.con.0033|provirus_31813_60067,31813,60067
573.66004.con.0004|provirus_18707_74212,18707,74212
72407.249.con.0004|provirus_207715_254062,207715,254062
72407.249.con.0006|provirus_87588_131989,87588,131989
72407.249.con.0025|provirus_95_37691,95,37691
72407.249.con.0001|provirus_6874_22977,6874,22977
72407.235.con.0024|provirus_41051_65065,41051,65065
72407.235.con.0012|provirus_94509_134070,94509,134070
72407.235.con.0001|provirus_753761_769864,753761,769864
72407.235.con.0029|provirus_18187_47617,18187,47617
72407.2747.con.0063|provirus_5231_22296,5231,22296
72407.2747.con.0028|provirus_1_24998,1,24998
72407.2747.con.0044|provirus_6746_18140,6746,18140
573.66274.con.0022|provirus_1_34504,1,34504
573.66274.con.0012|provirus_235_33241,235,33241
573.66274.con.0005|provirus_1_12799,1,12799
573.66274.con.0023|provirus_34_30140,34,30140
573.66274.con.0015|provirus_103806_111567,103806,111567
573.66274.con.0019|provirus_1_9974,1,9974
573.66274.con.0007|provirus_209356_230759,209356,230759
573.66274.con.0016|provirus_168_14219,168,14219
573.66274.con.0007|provirus_6548_22651,6548,22651
573.66274.con.0002|provirus_478135_489866,478135,489866
573.66274.con.0002|provirus_111220_125456,111220,125456
72407.2225.con.0027|provirus_61242_72570,61242,72570
573.66318.con.0011|provirus_27157_60613,27157,60613
573.66318.con.0003|provirus_1110_57743,1110,57743
573.65976.con.0003|provirus_10216_57719,10216,57719
573.65976.con.0003|provirus_80296_118885,80296,118885
573.65976.con.0023|provirus_271_15103,271,15103
72407.2666.con.0009|provirus_1_38504,1,38504
72407.2666.con.0006|provirus_94_8860,94,8860
72407.2214.con.0011|provirus_231_16639,231,16639
72407.2214.con.0025|provirus_1_32008,1,32008
72407.2214.con.0033|provirus_81_7541,81,7541
72407.2214.con.0015|provirus_69841_95074,69841,95074
72407.2214.con.0018|provirus_651_55344,651,55344
573.66551.con.0022|provirus_24529_81594,24529,81594
72407.2193.con.0014|provirus_93147_125481,93147,125481
72407.2193.con.0012|provirus_91440_130037,91440,130037
72407.2193.con.0012|provirus_29379_68367,29379,68367
72407.2193.con.0002|provirus_494425_518701,494425,518701
72407.2287.con.0024|provirus_71_12750,71,12750
72407.2287.con.0031|provirus_225_14503,225,14503
72407.2287.con.0027|provirus_25797_39233,25797,39233
72407.2287.con.0035|provirus_16703_48702,16703,48702
573.66407.con.0022|provirus_1_8118,1,8118
573.66407.con.0003|provirus_19_32469,19,32469
573.66407.con.0001|provirus_266750_313865,266750,313865
573.66407.con.0003|provirus_94618_109721,94618,109721
72407.2565.con.0026|provirus_146_47849,146,47849
72407.2565.con.0021|provirus_42171_80311,42171,80311
72407.2756.con.0005|provirus_9826_63866,9826,63866
72407.2756.con.0016|provirus_61473_70597,61473,70597
573.67345.con.0006|provirus_193047_226367,193047,226367
72407.2824.con.0023|provirus_23059_48150,23059,48150
72407.2824.con.0005|provirus_42355_78733,42355,78733
72407.2824.con.0019|provirus_61317_70073,61317,70073
573.65916.con.0002|provirus_122901_173911,122901,173911
573.65916.con.0010|provirus_166608_180797,166608,180797
72407.2522.con.0024|provirus_1_12719,1,12719
72407.2522.con.0010|provirus_80967_101346,80967,101346
72407.2522.con.0010|provirus_217014_222214,217014,222214
72407.2522.con.0006|provirus_94_8860,94,8860
574.91.con.0006|provirus_167566_205504,167566,205504
72407.2792.con.0007|provirus_2_58866,2,58866
72407.2312.con.0019|provirus_22455_72054,22455,72054
72407.2312.con.0023|provirus_16768_63600,16768,63600
72407.2312.con.0007|provirus_10201_64673,10201,64673
573.66251.con.0021|provirus_41019_75522,41019,75522
573.66251.con.0017|provirus_39_12995,39,12995
573.66251.con.0022|provirus_29846_59952,29846,59952
573.66251.con.0014|provirus_103806_111567,103806,111567
573.66251.con.0007|provirus_1_21404,1,21404
573.66251.con.0015|provirus_168_14219,168,14219
573.66251.con.0007|provirus_208109_224212,208109,224212
573.66251.con.0002|provirus_478135_489866,478135,489866
573.66251.con.0002|provirus_111220_125456,111220,125456
573.65924.con.0010|provirus_88932_122655,88932,122655
573.65924.con.0040|provirus_5201_45499,5201,45499
573.65924.con.0062|provirus_94_9781,94,9781
573.66266.con.0016|provirus_39_12995,39,12995
573.66266.con.0022|provirus_41019_82078,41019,82078
573.66266.con.0019|provirus_2_7763,2,7763
573.66266.con.0023|provirus_29846_59952,29846,59952
573.66266.con.0014|provirus_94536_108587,94536,108587
573.66266.con.0006|provirus_1_21404,1,21404
573.66266.con.0006|provirus_208109_224212,208109,224212
573.66266.con.0002|provirus_2_11733,2,11733
573.66266.con.0002|provirus_364412_379189,364412,379189
72407.2564.con.0001|provirus_314938_363817,314938,363817
72407.2564.con.0011|provirus_75332_113154,75332,113154
72407.2564.con.0017|provirus_29475_67250,29475,67250
573.66545.con.0022|provirus_1110_58175,1110,58175
573.66065.con.0004|provirus_227329_283760,227329,283760
573.66065.con.0010|provirus_123518_160474,123518,160474
573.66065.con.0015|provirus_52903_108212,52903,108212
573.66065.con.0015|provirus_93_29830,93,29830
573.66065.con.0004|provirus_1_9456,1,9456
72407.2372.con.0035|provirus_1_10116,1,10116
72407.2372.con.0014|provirus_50795_85367,50795,85367
72407.2372.con.0063|provirus_1_12413,1,12413
72407.2372.con.0007|provirus_27530_77497,27530,77497
72407.2372.con.0009|provirus_2_33597,2,33597
72407.2372.con.0035|provirus_17806_36977,17806,36977
72407.2688.con.0005|provirus_128_44316,128,44316
72407.2688.con.0005|provirus_189212_243376,189212,243376
72407.2688.con.0011|provirus_71618_84877,71618,84877
72407.2688.con.0038|provirus_398_11149,398,11149
573.66059.con.0020|provirus_2_28012,2,28012
573.66059.con.0009|provirus_57_21767,57,21767
72407.2864.con.0005|provirus_166778_221169,166778,221169
573.66078.con.0031|provirus_4408_39406,4408,39406
573.66078.con.0035|provirus_1_30697,1,30697
573.66078.con.0015|provirus_199_17802,199,17802
573.66078.con.0029|provirus_131_15101,131,15101
573.66078.con.0011|provirus_21015_54859,21015,54859
573.66078.con.0015|provirus_119022_134812,119022,134812
573.66078.con.0008|provirus_2_45902,2,45902
573.66078.con.0013|provirus_66712_110015,66712,110015
573.66078.con.0030|provirus_44331_60171,44331,60171
573.66268.con.0013|provirus_1_41279,1,41279
573.66268.con.0006|provirus_3_16313,3,16313
573.66268.con.0007|provirus_282997_329061,282997,329061
573.66268.con.0011|provirus_196196_216055,196196,216055
573.66268.con.0002|provirus_502177_541252,502177,541252
573.66268.con.0007|provirus_56360_67232,56360,67232
72407.2479.con.0038|provirus_29534_40822,29534,40822
72407.2479.con.0036|provirus_37971_47510,37971,47510
72407.2479.con.0023|provirus_22654_60577,22654,60577
72407.2479.con.0003|provirus_246809_258429,246809,258429
72407.2343.con.0002|provirus_207985_252423,207985,252423
72407.2343.con.0023|provirus_84_27960,84,27960
72407.2343.con.0003|provirus_173866_189215,173866,189215
72407.2343.con.0078|provirus_6533_15178,6533,15178
573.66045.con.0009|provirus_50_44775,50,44775
573.66045.con.0021|provirus_86_35934,86,35934
573.66045.con.0030|provirus_630_14098,630,14098
573.66258.con.0023|provirus_24529_81594,24529,81594
72407.2521.con.0011|provirus_72747_86787,72747,86787
72407.2637.con.0003|provirus_244632_298653,244632,298653
72407.2637.con.0006|provirus_113180_148075,113180,148075
72407.2637.con.0002|provirus_464617_504373,464617,504373
72407.2351.con.0009|provirus_116507_151488,116507,151488
72407.2351.con.0005|provirus_181741_214545,181741,214545
72407.2351.con.0015|provirus_70843_104476,70843,104476
72407.2351.con.0016|provirus_88021_102607,88021,102607
72407.2351.con.0008|provirus_27245_43509,27245,43509
72407.2269.con.0013|provirus_162485_179682,162485,179682
72407.2269.con.0003|provirus_367574_384539,367574,384539
72407.2269.con.0019|provirus_3_31298,3,31298
72407.2269.con.0007|provirus_62453_73567,62453,73567
72407.2269.con.0007|provirus_310283_317823,310283,317823
72407.2337.con.0006|provirus_148091_182135,148091,182135
72407.2337.con.0015|provirus_60753_103568,60753,103568
573.66097.con.0017|provirus_87151_96343,87151,96343
573.66097.con.0023|provirus_21_40995,21,40995
573.66097.con.0040|provirus_630_14098,630,14098
72407.264.con.0007|provirus_125_16545,125,16545
72407.264.con.0006|provirus_82156_125239,82156,125239
72407.264.con.0013|provirus_1_11543,1,11543
72407.264.con.0026|provirus_2_15804,2,15804
72407.264.con.0005|provirus_197337_213440,197337,213440
72407.264.con.0040|provirus_11508_36105,11508,36105
72407.2857.con.0007|provirus_178740_228680,178740,228680
72407.2857.con.0002|provirus_113426_158568,113426,158568
72407.2532.con.0009|provirus_72559_122739,72559,122739
72407.2852.con.0002|provirus_362744_406046,362744,406046
72407.2852.con.0003|provirus_178740_228680,178740,228680
72407.2852.con.0001|provirus_51465_96607,51465,96607
72407.2473.con.0014|provirus_113189_145759,113189,145759
72407.2473.con.0002|provirus_50483_106108,50483,106108
72407.2473.con.0027|provirus_390_25732,390,25732
72407.2473.con.0029|provirus_71_13443,71,13443
573.66371.con.0012|provirus_113481_154759,113481,154759
573.66371.con.0007|provirus_1_46065,1,46065
573.66371.con.0009|provirus_3_19862,3,19862
573.66371.con.0006|provirus_353447_370850,353447,370850
573.66371.con.0002|provirus_501753_540828,501753,540828
573.66371.con.0007|provirus_261831_272703,261831,272703
573.66371.con.0006|provirus_2_16287,2,16287
72407.2385.con.0021|provirus_20786_51707,20786,51707
72407.2385.con.0022|provirus_1103_55511,1103,55511
72407.2385.con.0023|provirus_27555_66163,27555,66163
72407.2431.con.0005|provirus_26898_78321,26898,78321
573.66516.con.0023|provirus_44160_74173,44160,74173
573.66516.con.0006|provirus_14343_92923,14343,92923
573.66516.con.0016|provirus_39694_74640,39694,74640
573.66516.con.0047|provirus_1_7631,1,7631
573.66376.con.0013|provirus_1_41279,1,41279
573.66376.con.0005|provirus_3_16313,3,16313
573.66376.con.0007|provirus_282998_329062,282998,329062
573.66376.con.0009|provirus_3_19862,3,19862
573.66376.con.0002|provirus_42171_81246,42171,81246
573.66376.con.0005|provirus_354566_370851,354566,370851
573.66376.con.0007|provirus_56360_67232,56360,67232
72407.2685.con.0028|provirus_1_12719,1,12719
72407.2685.con.0007|provirus_196213_234725,196213,234725
72407.2685.con.0005|provirus_94_8860,94,8860
573.66517.con.0005|provirus_268253_303847,268253,303847
573.66517.con.0025|provirus_2_17097,2,17097
573.66517.con.0012|provirus_124735_168079,124735,168079
573.66517.con.0010|provirus_37423_54575,37423,54575
573.66517.con.0016|provirus_86022_102687,86022,102687
72407.2494.con.0006|provirus_1_38513,1,38513
72407.2494.con.0028|provirus_55574_68292,55574,68292
72407.2528.con.0009|provirus_3_37849,3,37849
72407.2528.con.0025|provirus_1_12719,1,12719
72407.2528.con.0005|provirus_94_8860,94,8860
573.66332.con.0010|provirus_1_43331,1,43331
573.66332.con.0007|provirus_228758_273826,228758,273826
573.66332.con.0013|provirus_167543_192955,167543,192955
573.66332.con.0016|provirus_129606_144241,129606,144241
573.66332.con.0010|provirus_169081_207689,169081,207689
573.66014.con.0005|provirus_282998_329062,282998,329062
573.66014.con.0010|provirus_78_20285,78,20285
573.66014.con.0007|provirus_201160_240235,201160,240235
573.66014.con.0005|provirus_56360_67232,56360,67232
574.99.con.0001|provirus_314938_363817,314938,363817
574.99.con.0012|provirus_75311_113133,75311,113133
574.99.con.0017|provirus_29475_67250,29475,67250
72407.2291.con.0028|provirus_33324_40270,33324,40270
72407.2291.con.0005|provirus_113184_148079,113184,148079
72407.2435.con.0011|provirus_83821_131629,83821,131629
72407.2435.con.0028|provirus_9461_22553,9461,22553
573.66297.con.0003|provirus_20_32470,20,32470
573.66297.con.0001|provirus_430842_477957,430842,477957
573.66297.con.0019|provirus_308_21169,308,21169
573.66297.con.0003|provirus_94619_109722,94619,109722
72407.2738.con.0005|provirus_2_46944,2,46944
72407.2738.con.0015|provirus_86963_122727,86963,122727
72407.2738.con.0031|provirus_12598_47054,12598,47054
72407.2738.con.0016|provirus_84225_122649,84225,122649
72407.2738.con.0030|provirus_18651_53800,18651,53800
72407.2738.con.0014|provirus_428_15301,428,15301
72407.2738.con.0014|provirus_116521_132311,116521,132311
72407.2185.con.0007|provirus_47072_90221,47072,90221
72407.2185.con.0025|provirus_19305_57461,19305,57461
72407.2185.con.0023|provirus_58478_81106,58478,81106
72407.2386.con.0022|provirus_2_30713,2,30713
72407.2386.con.0021|provirus_1103_55511,1103,55511
72407.254.con.0007|provirus_58_4119,58,4119
72407.254.con.0006|provirus_82035_125118,82035,125118
72407.254.con.0031|provirus_1_11543,1,11543
72407.254.con.0001|provirus_2_15804,2,15804
72407.254.con.0001|provirus_770437_786540,770437,786540
72407.2194.con.0007|provirus_12797_61200,12797,61200
72407.2194.con.0023|provirus_270_48210,270,48210
72407.2633.con.0016|provirus_97110_103735,97110,103735
72407.2633.con.0014|provirus_3_24869,3,24869
72407.2633.con.0006|provirus_2_22046,2,22046
72407.2633.con.0002|provirus_322765_354793,322765,354793
72407.2633.con.0001|provirus_51408_89879,51408,89879
72407.2633.con.0032|provirus_1_11989,1,11989
72407.2633.con.0001|provirus_3_36288,3,36288
573.66286.con.0021|provirus_24526_81591,24526,81591
573.66225.con.0012|provirus_235_33241,235,33241
573.66225.con.0005|provirus_1_12799,1,12799
573.66225.con.0023|provirus_2_41061,2,41061
573.66225.con.0024|provirus_34_30140,34,30140
573.66225.con.0021|provirus_86629_94390,86629,94390
573.66225.con.0027|provirus_2_16218,2,16218
573.66225.con.0002|provirus_2_4071,2,4071
573.66225.con.0019|provirus_1_9974,1,9974
573.66225.con.0015|provirus_94536_108587,94536,108587
573.66225.con.0001|provirus_1094197_1098285,1094197,1098285
573.66225.con.0007|provirus_1_21404,1,21404
573.66225.con.0007|provirus_208109_224212,208109,224212
573.66225.con.0002|provirus_356964_371741,356964,371741
573.66314.con.0022|provirus_24530_74300,24530,74300
574.84.con.0013|provirus_27157_58078,27157,58078
574.84.con.0020|provirus_1103_55511,1103,55511
574.84.con.0021|provirus_27555_66163,27555,66163
72407.2174.con.0004|provirus_3_36626,3,36626
72407.2174.con.0034|provirus_35495_46580,35495,46580
72407.2174.con.0029|provirus_30_38285,30,38285
72407.2174.con.0010|provirus_145899_195499,145899,195499
72407.2174.con.0014|provirus_2_34865,2,34865
72407.2174.con.0041|provirus_35_11448,35,11448
72407.2174.con.0010|provirus_2_23158,2,23158
72407.2174.con.0020|provirus_3_25034,3,25034
72407.2174.con.0032|provirus_48300_51867,48300,51867
573.66281.con.0007|provirus_228759_273827,228759,273827
573.66281.con.0016|provirus_97_13639,97,13639
573.66281.con.0013|provirus_167543_192955,167543,192955
573.66281.con.0010|provirus_206527_249857,206527,249857
573.66281.con.0010|provirus_42169_80777,42169,80777
573.66011.con.0095|provirus_86_8290,86,8290
573.66011.con.0006|provirus_3_10958,3,10958
573.66011.con.0049|provirus_32112_40228,32112,40228
573.66011.con.0086|provirus_3_3626,3,3626
573.66365.con.0015|provirus_3_41545,3,41545
72407.2589.con.0005|provirus_49504_98355,49504,98355
72407.2589.con.0002|provirus_198646_242088,198646,242088
72407.2589.con.0005|provirus_314022_324420,314022,324420
573.66003.con.0015|provirus_561_8814,561,8814
573.66003.con.0002|provirus_329232_355342,329232,355342
573.66003.con.0026|provirus_1_12534,1,12534
573.66003.con.0003|provirus_1_17005,1,17005
573.66003.con.0006|provirus_165247_184418,165247,184418
573.66003.con.0027|provirus_3_30051,3,30051
72407.2796.con.0001|provirus_583127_607859,583127,607859
72407.2796.con.0006|provirus_283007_295584,283007,295584
72407.2796.con.0002|provirus_503260_534419,503260,534419
72407.2796.con.0010|provirus_3_12880,3,12880
72407.2796.con.0003|provirus_196196_238906,196196,238906
72407.2796.con.0009|provirus_162778_201853,162778,201853
72407.2796.con.0006|provirus_56360_67232,56360,67232
573.66217.con.0002|provirus_119463_170483,119463,170483
573.66217.con.0023|provirus_24526_81591,24526,81591
573.66306.con.0022|provirus_1_8118,1,8118
573.66306.con.0003|provirus_20_32470,20,32470
573.66306.con.0001|provirus_431047_478162,431047,478162
573.66306.con.0003|provirus_94619_109722,94619,109722
72407.2224.con.0010|provirus_55637_89943,55637,89943
72407.2224.con.0023|provirus_3_24979,3,24979
573.66498.con.0022|provirus_24529_81594,24529,81594
573.66488.con.0022|provirus_1110_58175,1110,58175
NWCC01000010|provirus_82250_123916,82250,123916
NWCC01000001|provirus_434653_485900,434653,485900
573.66445.con.0012|provirus_1_41279,1,41279
573.66445.con.0006|provirus_3_16313,3,16313
573.66445.con.0007|provirus_282997_329061,282997,329061
573.66445.con.0010|provirus_3_19862,3,19862
573.66445.con.0003|provirus_502177_541252,502177,541252
573.66445.con.0007|provirus_56360_67232,56360,67232
72407.2582.con.0004|provirus_157584_204045,157584,204045
72407.2582.con.0029|provirus_1_45447,1,45447
72407.2317.con.0004|provirus_22455_72054,22455,72054
72407.2317.con.0009|provirus_49371_96203,49371,96203
72407.2317.con.0006|provirus_191638_246110,191638,246110
573.65984.con.0006|provirus_175367_209118,175367,209118
573.65984.con.0003|provirus_266302_309261,266302,309261
72407.2641.con.0010|provirus_39_47381,39,47381
72407.2641.con.0010|provirus_173134_212098,173134,212098
72407.2859.con.0011|provirus_998_48229,998,48229
72407.2859.con.0010|provirus_137009_183356,137009,183356
573.66098.con.0016|provirus_279_15524,279,15524
573.66098.con.0007|provirus_162737_189391,162737,189391
573.66264.con.0008|provirus_191073_229681,191073,229681
573.66212.con.0018|provirus_60663_93095,60663,93095
573.66212.con.0030|provirus_17513_25630,17513,25630
573.66465.con.0016|provirus_27157_60613,27157,60613
573.66465.con.0003|provirus_325393_382026,325393,382026
72407.2182.con.0003|provirus_339187_410835,339187,410835
72407.2706.con.0004|provirus_288606_305881,288606,305881
72407.2706.con.0005|provirus_297119_347406,297119,347406
573.66298.con.0022|provirus_24529_74299,24529,74299
573.66042.con.0010|provirus_69169_119109,69169,119109
573.67347.con.0001|provirus_119035_165529,119035,165529
573.67347.con.0015|provirus_58666_94952,58666,94952
573.67347.con.0009|provirus_190416_244495,190416,244495
573.67347.con.0006|provirus_286348_319962,286348,319962
573.66224.con.0021|provirus_41017_75520,41017,75520
573.66224.con.0011|provirus_235_33241,235,33241
573.66224.con.0018|provirus_86999_96972,86999,96972
573.66224.con.0005|provirus_1_12799,1,12799
573.66224.con.0022|provirus_29846_59952,29846,59952
573.66224.con.0014|provirus_94536_108587,94536,108587
573.66224.con.0004|provirus_103806_137530,103806,137530
573.66224.con.0004|provirus_324235_340338,324235,340338
573.66224.con.0008|provirus_11309_25003,11309,25003
573.66224.con.0003|provirus_351555_366332,351555,366332
72407.2507.con.0007|provirus_2_47185,2,47185
72407.2507.con.0005|provirus_329597_362828,329597,362828
72407.2507.con.0007|provirus_190610_245447,190610,245447
72407.2507.con.0019|provirus_73163_91581,73163,91581
573.65934.con.0006|provirus_42169_80777,42169,80777
573.66092.con.0010|provirus_3_26657,3,26657
573.66092.con.0019|provirus_279_15524,279,15524
573.65948.con.0001|provirus_193911_227955,193911,227955
573.65948.con.0009|provirus_234367_277182,234367,277182
72407.2541.con.0012|provirus_164876_177389,164876,177389
72407.2541.con.0011|provirus_147179_180343,147179,180343
72407.2541.con.0013|provirus_128682_136441,128682,136441
72407.2541.con.0001|provirus_389145_418035,389145,418035
72407.2541.con.0032|provirus_27158_35933,27158,35933
72407.2541.con.0008|provirus_876_37199,876,37199
72407.2391.con.0022|provirus_20619_51950,20619,51950
72407.2391.con.0004|provirus_119466_153656,119466,153656
72407.2391.con.0003|provirus_376942_425374,376942,425374
573.66406.con.0001|provirus_1126615_1180636,1126615,1180636
573.66557.con.0021|provirus_1110_58175,1110,58175
72407.2537.con.0009|provirus_137860_170359,137860,170359
72407.2537.con.0012|provirus_2_12515,2,12515
72407.2537.con.0010|provirus_128681_136440,128681,136440
72407.2537.con.0033|provirus_2_8777,2,8777
72407.2537.con.0004|provirus_59613_100050,59613,100050
72407.2186.con.0002|provirus_19421_91069,19421,91069
573.65991.con.0002|provirus_671_14017,671,14017
573.65991.con.0031|provirus_1_12719,1,12719
72407.2398.con.0023|provirus_29152_62226,29152,62226
72407.2255.con.0014|provirus_20557_67281,20557,67281
72407.2255.con.0037|provirus_13710_21469,13710,21469
72407.2255.con.0041|provirus_2_8770,2,8770
72407.2255.con.0033|provirus_1_27379,1,27379
72407.2825.con.0001|provirus_375719_395209,375719,395209
72407.2825.con.0004|provirus_16969_54198,16969,54198
573.66301.con.0013|provirus_113481_154759,113481,154759
573.66301.con.0007|provirus_1_46065,1,46065
573.66301.con.0006|provirus_353447_370850,353447,370850
573.66301.con.0009|provirus_196196_216055,196196,216055
573.66301.con.0002|provirus_501753_540828,501753,540828
573.66301.con.0007|provirus_261831_272703,261831,272703
573.66301.con.0006|provirus_2_16287,2,16287
573.66279.con.0012|provirus_107402_140408,107402,140408
573.66279.con.0022|provirus_1_34504,1,34504
573.66279.con.0020|provirus_2_7763,2,7763
573.66279.con.0023|provirus_34_30140,34,30140
573.66279.con.0005|provirus_281154_293952,281154,293952
573.66279.con.0018|provirus_1_9974,1,9974
573.66279.con.0015|provirus_94536_108587,94536,108587
573.66279.con.0007|provirus_1_21404,1,21404
573.66279.con.0007|provirus_208109_224212,208109,224212
573.66279.con.0002|provirus_2_11733,2,11733
573.66279.con.0002|provirus_364412_379189,364412,379189
573.66364.con.0013|provirus_133470_166926,133470,166926
573.66364.con.0009|provirus_42169_80777,42169,80777
72407.2576.con.0013|provirus_45896_95500,45896,95500
72407.2576.con.0008|provirus_100858_154999,100858,154999
72407.2265.con.0024|provirus_1_35933,1,35933
72407.2265.con.0047|provirus_1_35701,1,35701
72407.2265.con.0031|provirus_18239_43906,18239,43906
573.66299.con.0029|provirus_1_8118,1,8118
573.66299.con.0016|provirus_20_32470,20,32470
573.66299.con.0001|provirus_431047_478162,431047,478162
573.66243.con.0012|provirus_133413_166869,133413,166869
573.66243.con.0003|provirus_325393_382026,325393,382026
72407.2273.con.0043|provirus_19887_39287,19887,39287
72407.2273.con.0039|provirus_1_24649,1,24649
72407.2273.con.0019|provirus_35506_46275,35506,46275
72407.2275.con.0010|provirus_92487_141919,92487,141919
72407.2275.con.0006|provirus_193408_227764,193408,227764
72407.2275.con.0019|provirus_189_52500,189,52500
573.66449.con.0012|provirus_1_34930,1,34930
573.66449.con.0030|provirus_106_35054,106,35054
573.66449.con.0002|provirus_210460_243789,210460,243789
573.66449.con.0004|provirus_6547_22650,6547,22650
573.66313.con.0006|provirus_3_16313,3,16313
573.66313.con.0010|provirus_3_19862,3,19862
573.66313.con.0013|provirus_3_3190,3,3190
573.66313.con.0003|provirus_501753_540828,501753,540828
573.66313.con.0006|provirus_355032_371317,355032,371317
573.66313.con.0009|provirus_56360_67232,56360,67232
LXTP01000034|provirus_42598_76063,42598,76063
LXTP01000023|provirus_135881_149932,135881,149932
LXTP01000009|provirus_209653_236906,209653,236906
LXTP01000011|provirus_304667_341387,304667,341387
LXTP01000013|provirus_1_9386,1,9386
LXTP01000009|provirus_6845_22948,6845,22948
LXTP01000011|provirus_528092_544195,528092,544195
LXTP01000020|provirus_184855_224559,184855,224559
72407.2403.con.0003|provirus_98980_122961,98980,122961
72407.2403.con.0002|provirus_17103_60186,17103,60186
72407.2403.con.0011|provirus_40396_75161,40396,75161
72407.2403.con.0018|provirus_37383_74979,37383,74979
72407.2403.con.0012|provirus_71519_87622,71519,87622
72407.2299.con.0001|provirus_168294_219795,168294,219795
72407.2299.con.0016|provirus_39948_74706,39948,74706
72407.2299.con.0004|provirus_297107_348423,297107,348423
72407.2173.con.0015|provirus_1010_50714,1010,50714
72407.2173.con.0006|provirus_24546_67819,24546,67819
72407.2173.con.0013|provirus_147261_154281,147261,154281
72407.2173.con.0016|provirus_113181_140955,113181,140955
72407.2516.con.0006|provirus_37_27684,37,27684
72407.2516.con.0006|provirus_50258_97881,50258,97881
72407.2516.con.0013|provirus_83191_125531,83191,125531
72407.2516.con.0012|provirus_168714_177844,168714,177844
72407.2807.con.0011|provirus_171892_215072,171892,215072
72407.2807.con.0010|provirus_189298_222915,189298,222915
72407.2807.con.0002|provirus_80943_99788,80943,99788
72407.2515.con.0016|provirus_1_41892,1,41892
72407.2515.con.0019|provirus_55598_82319,55598,82319
72407.2515.con.0022|provirus_55018_66349,55018,66349
573.65969.con.0012|provirus_49052_100172,49052,100172
573.65969.con.0030|provirus_324_23164,324,23164
573.65969.con.0017|provirus_756_35538,756,35538
573.65969.con.0009|provirus_204487_215125,204487,215125
573.65969.con.0017|provirus_58620_97785,58620,97785
573.65969.con.0031|provirus_20011_32042,20011,32042
573.66273.con.0012|provirus_107402_140408,107402,140408
573.66273.con.0005|provirus_1_12799,1,12799
573.66273.con.0015|provirus_2_7763,2,7763
573.66273.con.0022|provirus_34_30140,34,30140
573.66273.con.0019|provirus_1_9974,1,9974
573.66273.con.0007|provirus_209356_230759,209356,230759
573.66273.con.0016|provirus_168_14219,168,14219
573.66273.con.0007|provirus_6548_22651,6548,22651
